name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses,natural_slot
Jesprit Bomrah,Bowler (Fast),98,18,98,False,32,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Death bowling, Technique","High pace, Running between wickets",11
Vyrat Kuhli,Batsman,96,96,20,False,37,Right,Right,Anchor,Part-time,None,"Power hitting, Death bowling","High pace, Concentration",3
Hiinrich Kleasen,Wicketkeeper,96,96,10,True,34,Right,None,Finisher,Part-time,None,"Power hitting, Fielding","Concentration, Spin off-break",5
Reshid Khen,Bowler (Spin),96,74,96,True,27,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Power hitting, Aggressive batting","Running between wickets, Spin leg-break",8
Nycholas Puoran,Wicketkeeper,95,95,15,True,30,Left,None,Finisher,Part-time,None,"Aggressive batting, Power hitting","Concentration, Swing",5
Soryakumar Yedav,Batsman,95,95,10,False,35,Right,Right,Middle-over Rotator,Part-time,None,"Power hitting, Fast bowling","Spin leg-break, Swing",4
Trevis Hiad,Batsman,94,94,55,True,31,Left,Right,Aggressive Opener,Part-time,None,"Spin bowling, Power hitting","Swing, High pace",1
Shriyas Iyir,Batsman,94,94,15,False,31,Right,Right,Middle-over Rotator,Part-time,None,"Power hitting, Death bowling","Concentration, Running between wickets",3
Shobman Gyll,Batsman,94,94,10,False,24,Right,Right,Anchor,Part-time,None,"Fast bowling, Aggressive batting","Running between wickets, Short pitch balls",1
Yeshasvi Jeiswal,Batsman,93,93,35,False,23,Left,Right,Aggressive Opener,Part-time,None,"Fielding, Technique","Spin leg-break, Short pitch balls",1
Senju Semson,Wicketkeeper,93,93,10,False,31,Right,None,Aggressive Opener,Part-time,None,"Fielding, Technique","Concentration, Swing",1
Jus Bottler,Wicketkeeper,93,93,10,True,35,Right,None,Aggressive Opener,Part-time,None,"Spin bowling, Power hitting","Spin off-break, Concentration",1
Herdik Pendya,All-Rounder,93,89,86,False,32,Right,Right,Finisher,Flexible,Right-arm Medium,"Spin bowling, Aggressive batting","Spin off-break, High pace",5
Sonil Nerine,Bowler (Spin),93,78,92,True,37,Left,Right,Aggressive Opener,Middle Overs,Mystery Spin,"Power hitting, Death bowling","High pace, Spin off-break",1
Pet Commins,All-Rounder,93,76,92,True,32,Right,Right,Lower-order Hitter,Flexible,Right-arm Fast,"Fielding, Technique","Swing, Spin off-break",8
Koldeep Yedav,Bowler (Spin),93,22,93,False,31,Left,Left,Defensive Tailender,Middle Overs,Left-arm Wrist Spin,"Spin bowling, Power hitting","Spin leg-break, Short pitch balls",11
Ruhit Sherma,Batsman,92,92,25,False,39,Right,Right,Aggressive Opener,Part-time,None,"Aggressive batting, Fielding","High pace, Swing",1
Roturaj Geikwad,Batsman,92,92,10,False,29,Right,Right,Anchor,Part-time,None,"Technique, Power hitting","Concentration, Spin leg-break",1
Axer Petel,All-Rounder,92,82,89,False,32,Left,Left,Middle-over Rotator,Middle Overs,Left-arm Orthodox,"Fielding, Aggressive batting","Swing, Spin off-break",7
Revindra Jedeja,All-Rounder,92,81,91,False,37,Left,Left,Finisher,Middle Overs,Left-arm Orthodox,"Power hitting, Fielding","Spin leg-break, High pace",6
Sei Sodharsan,Batsman,91,91,10,False,23,Left,None,Anchor,Part-time,None,"Fielding, Power hitting","Concentration, Running between wickets",3
KL Rehul,Wicketkeeper,91,91,10,False,34,Right,None,Anchor,Part-time,None,"Fast bowling, Fielding","High pace, Spin leg-break",1
