name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses,natural_slot
Vyrat Kuhli,Batsman,97,98,20,False,27,Right,Right,Anchor,Part-time,None,"Death bowling, Technique","Spin leg-break, Concentration",3
AB de Vylliers,Wicketkeeper,97,98,20,True,28,Right,None,Aggressor,Part-time,None,"Power hitting, Death bowling","Spin leg-break, Swing",4
Jesprit Bomrah,Bowler (Fast),97,18,98,False,25,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Power hitting, Fielding","High pace, Running between wickets",11
Chrys Geyle,Batsman,96,97,45,True,26,Left,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Power hitting, Aggressive batting","Swing, Running between wickets",1
Sechin Tindulkar,Batsman,96,97,15,False,27,Right,Right,Aggressive Opener,Part-time,None,"Aggressive batting, Power hitting","Spin off-break, High pace",1
MS Dhuni,Wicketkeeper,96,96,15,False,28,Right,None,Finisher,Part-time,None,"Power hitting, Fast bowling","High pace, Short pitch balls",5
Lesith Melinga,Bowler (Fast),96,15,98,True,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Spin bowling, Power hitting","Spin leg-break, Swing",11
Dele Stiyn,Bowler (Fast),96,15,96,True,26,Right,Right,Defensive Tailender,New-ball Bowler,Right-arm Fast,"Power hitting, Death bowling","Swing, Spin leg-break",11
Devid Werner,Batsman,95,96,10,True,28,Left,Right,Aggressive Opener,Part-time,None,"Fast bowling, Aggressive batting","Concentration, Running between wickets",1
Adem Gylchrist,Wicketkeeper,95,96,10,True,29,Left,Right,Aggressive Opener,Part-time,None,"Fielding, Technique","Spin leg-break, Swing",1
Jecques Kellis,All-Rounder,95,95,92,True,29,Right,Right,Anchor,New-ball Bowler,Right-arm Fast,"Fielding, Technique","Spin off-break, Concentration",2
Mottiah Moralitharan,Bowler (Spin),95,30,98,True,29,Right,Right,Defensive Tailender,Middle Overs,Right-arm Offbreak,"Spin bowling, Power hitting","Concentration, Spin off-break",11
Shene Werne,Bowler (Spin),95,25,97,True,31,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Spin bowling, Aggressive batting","Swing, High pace",11
Vyrender Sihwag,Batsman,94,95,20,False,27,Right,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Power hitting, Death bowling","Swing, High pace",1
Rycky Punting,Batsman,94,95,10,True,26,Right,Right,Anchor,Part-time,None,"Fielding, Technique","High pace, Swing",3
Komar Sengakkara,Wicketkeeper,94,95,10,True,30,Left,Right,Anchor,Part-time,None,"Spin bowling, Power hitting","Concentration, Spin leg-break",3
Soresh Reina,All-Rounder,94,94,72,False,25,Left,Right,Anchor,Middle Overs,Left-arm Orthodox,"Aggressive batting, Fielding","Swing, Spin leg-break",3
Sonil Nerine,All-Rounder,94,88,95,True,26,Left,Right,Aggressive Opener,Middle Overs,Mystery Spin,"Technique, Power hitting","Concentration, High pace",1
Anyl Komble,Bowler (Spin),94,20,97,False,29,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Fielding, Aggressive batting","High pace, Spin leg-break",11
Ruhit Sherma,Batsman,93,94,10,False,27,Right,Right,Aggressive Opener,Part-time,None,"Power hitting, Fielding","Running between wickets, Swing",1
Andri Rossell,All-Rounder,93,93,89,True,27,Right,Right,Finisher,Death Overs,Right-arm Fast,"Fielding, Power hitting","High pace, Spin leg-break",6
Shene Wetson,All-Rounder,93,93,88,True,28,Right,Right,Aggressive Opener,New-ball Bowler,Right-arm Fast,"Fast bowling, Fielding","Spin off-break, Spin leg-break",1
Dweyne Brevo,All-Rounder,93,78,95,True,28,Right,Right,Lower-order Hitter,Death Overs,Right-arm Medium,"Power hitting, Aggressive batting","Spin off-break, Concentration",7
Reshid Khen,Bowler (Spin),93,74,95,True,22,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Fast bowling, Technique","High pace, Spin off-break",8
Britt Lie,Bowler (Fast),93,15,95,True,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,"Death bowling, Fast bowling","Short pitch balls, Spin off-break",11
Jus Bottler,Wicketkeeper,92,94,10,True,29,Right,None,Aggressive Opener,Part-time,None,"Fast bowling, Spin bowling","Swing, Concentration",1
Soryakumar Yedav,Batsman,92,94,10,False,29,Right,Right,Aggressor,Part-time,None,"Aggressive batting, Spin bowling","Spin leg-break, Running between wickets",4
Suurav Genguly,Batsman,92,93,10,False,26,Left,Right,Aggressive Opener,Part-time,None,"Technique, Fielding","Swing, Spin off-break",1
Rehul Drevid,Batsman,92,93,10,False,26,Right,Right,Anchor,Part-time,None,"Aggressive batting, Power hitting","High pace, Concentration",3
Yovraj Syngh,All-Rounder,92,92,84,False,24,Left,Left,Finisher,Middle Overs,Left-arm Orthodox,"Fielding, Power hitting","Short pitch balls, Swing",4
Brindon McCollum,Batsman,92,92,10,True,29,Right,Right,Aggressive Opener,Part-time,None,"Power hitting, Fast bowling","High pace, Short pitch balls",1
Revindra Jedeja,All-Rounder,92,84,92,False,28,Left,Left,Finisher,Middle Overs,Left-arm Orthodox,"Spin bowling, Aggressive batting","Running between wickets, Concentration",6
Herdik Pendya,All-Rounder,91,91,89,False,26,Right,Right,Finisher,Death Overs,Right-arm Fast,"Technique, Aggressive batting","Short pitch balls, Concentration",5
