name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses,natural_slot
Sachin Tendulkar,Batsman,98,99,18,False,40,Right,Right,Anchor,Part-time,Right-arm Offbreak,"Consistency,Technique",Short-pitch pace,1
Virat Kohli,Batsman,97,98,12,False,35,Right,Right,Anchor,Part-time,None,"Chase mastery,Consistency",Short-pitch pace,3
AB de Villiers,Wicketkeeper,97,98,15,False,38,Right,None,Aggressive Opener,Part-time,None,"360-degree batting,Finishing",Short-pitch spin,4
Viv Richards,Batsman,97,98,12,False,62,Right,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Power hitting,Dominance",Short-pitch pace,3
Jasprit Bumrah,Bowler (Fast),96,18,97,False,30,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Yorkers,Accuracy",Batting,11
Jacques Kallis,All-Rounder,96,96,92,False,47,Right,Right,Anchor,Powerplay,Right-arm Fast-medium,"Consistency,All-round",Scoring rate,3
MS Dhoni,Wicketkeeper,96,95,12,False,42,Right,None,Lower-order Hitter,Part-time,None,"Finishing,Keeping",Short-pitch pace,5
Ricky Ponting,Batsman,96,97,10,False,50,Right,Right,Anchor,Part-time,None,"Technique,Leadership",Short-pitch pace,3
Rohit Sharma,Batsman,96,97,10,False,37,Right,Right,Aggressive Opener,Part-time,None,"Big hundreds,Six hitting",Early swing,1
Kumar Sangakkara,Wicketkeeper,95,97,10,False,45,Left,Right,Anchor,Part-time,None,"Glove work,Run scoring",Express pace,3
Joe Root,Batsman,95,97,12,False,34,Right,Right,Anchor,Part-time,Right-arm Offbreak,"Consistency,Adaptability",Short-pitch pace,4
Brian Lara,Batsman,95,97,10,False,54,Left,Right,Anchor,Part-time,None,"Technique,Elegance",Short-pitch pace,3
Rashid Khan,All-Rounder,95,72,96,False,25,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Googly,Economy",Express pace,8
Chris Gayle,Batsman,94,95,42,False,42,Left,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Power hitting,Opening dominance",Swing bowling,1
Adam Gilchrist,Wicketkeeper,94,95,10,False,52,Left,Right,Aggressive Opener,Part-time,None,"Explosive starts,Glove work",Short-pitch spin,1
Wasim Akram,Bowler (Fast),93,35,97,False,54,Left,Left,Defensive Tailender,Powerplay,Left-arm Fast,"Swing,Reverse swing",Batting,11
Rahul Dravid,Batsman,93,95,10,False,51,Right,Right,Anchor,Part-time,None,"Technique,Patience",Scoring rate,3
Glenn McGrath,Bowler (Fast),93,12,97,False,53,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast-medium,"Accuracy,Line and length",Batting,11
Muttiah Muralitharan,Bowler (Spin),93,30,98,False,51,Right,Right,Defensive Tailender,Middle Overs,Right-arm Offbreak,"Doosra,Economy",Batting,11
Sourav Ganguly,Batsman,93,94,10,False,51,Left,Right,Aggressive Opener,Part-time,None,"Technique,Leadership",Swing outside off,1
Kagiso Rabada,Bowler (Fast),93,24,95,False,28,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Pace,Bounce",Economy in ODIs,10
Steve Smith,Batsman,93,95,10,False,35,Right,Right,Anchor,Part-time,Leg-spin,"Unconventional technique,Consistency",Short-pitch pace,4
Ben Stokes,All-Rounder,93,87,90,False,32,Left,Right,Lower-order Hitter,Powerplay,Right-arm Fast-medium,"Match-winning ability,Leadership",Fitness management,6
Kane Williamson,Batsman,93,95,10,False,33,Right,Right,Anchor,Part-time,Right-arm Offbreak,"Technique,Leadership",Aggressive periods,3
Sanath Jayasuriya,Batsman,92,93,82,False,53,Left,Left,Aggressive Opener,Middle Overs,Left-arm Orthodox,"Explosive starts,Left-arm spin",Short-pitch pace,1
Shane Watson,All-Rounder,92,91,88,False,42,Right,Right,Aggressive Opener,Powerplay,Right-arm Fast-medium,"Power hitting,New-ball swing",Short-pitch pace,1
Jos Buttler,Wicketkeeper,92,94,10,False,33,Right,None,Aggressive Opener,Part-time,None,"Explosive hitting,Glove work",Left-arm spin,4
Babar Azam,Batsman,92,93,10,False,29,Right,None,Anchor,Part-time,None,"Elegant technique,Consistency",Short-pitch pace,3
Glenn Maxwell,All-Rounder,91,91,80,False,35,Right,Right,Aggressive Opener,Middle Overs,Right-arm Offbreak,"Switch hitting,Fielding",Inconsistency with ball,5
Waqar Younis,Bowler (Fast),91,14,96,False,52,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Reverse swing,Yorkers",Batting,11
Anil Kumble,Bowler (Spin),91,22,96,False,53,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Wicket-taking,Accuracy",Batting,11
Shane Warne,Bowler (Spin),91,25,97,False,53,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,"Variations,Bowling intelligence",Batting,11
Kapil Dev,All-Rounder,91,82,90,False,65,Right,Right,Lower-order Hitter,Powerplay,Right-arm Fast,"Match-winning ability,Swing",Consistency,7
Eoin Morgan,Batsman,91,92,10,False,37,Left,Right,Aggressive Opener,Part-time,None,"Ramp shots,Reverse sweep",Short pitch from right-armers,4
Virendra Sehwag,Batsman,91,93,20,False,45,Right,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Power hitting,Demolition",Swing bowling,1
Kieron Pollard,All-Rounder,91,91,82,False,35,Right,Right,Lower-order Hitter,Death,Right-arm Medium,"Power hitting,Leadership",Spin on turning tracks,6
