name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses,natural_slot
Virat Kohli,Batsman,97,98,12,False,35,Right,Right,Anchor,Part-time,None,"Chase mastery,Consistency",Short-pitch pace,3
AB de Villiers,Wicketkeeper,97,98,15,False,38,Right,None,Aggressive Opener,Part-time,None,"360-degree batting,Finishing",Short-pitch spin,4
Jasprit Bumrah,Bowler (Fast),96,18,97,False,30,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Yorkers,Accuracy",Batting,11
Chris Gayle,Batsman,96,97,42,False,42,Left,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Power hitting,Six hitting",Swing bowling,1
MS Dhoni,Wicketkeeper,96,95,12,False,42,Right,None,Lower-order Hitter,Part-time,None,"Finishing,Keeping",Short-pitch pace,5
Rashid Khan,All-Rounder,95,72,96,False,25,Right,Right,Lower-order Hitter,Middle Overs,Leg-spin,"Googly,Economy",Express pace,8
Rohit Sharma,Batsman,95,96,10,False,37,Right,Right,Aggressive Opener,Part-time,None,"Big innings,Six hitting",Early swing,1
David Warner,Batsman,94,95,10,False,37,Left,Right,Aggressive Opener,Part-time,None,"Aggressive starts,Big hundreds",Short-pitch bouncers,1
Suryakumar Yadav,Batsman,94,96,10,False,33,Right,Right,Aggressive Opener,Part-time,None,"360-degree batting,Consistency",Spin on slow tracks,4
Kagiso Rabada,Bowler (Fast),93,24,95,False,28,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Pace,Bounce",Economy in T20,10
Jos Buttler,Wicketkeeper,93,95,10,False,33,Right,None,Aggressive Opener,Part-time,None,"Explosive hitting,Glove work",Left-arm spin,1
Kieron Pollard,All-Rounder,93,91,84,False,35,Right,Right,Lower-order Hitter,Death,Right-arm Medium,"Power hitting,Death bowling",Spin on turning tracks,6
Martin Guptill,Batsman,92,93,10,False,37,Right,Right,Aggressive Opener,Part-time,None,"Power hitting,Fielding",Late away swing,1
Aaron Finch,Batsman,92,93,10,False,37,Right,Right,Aggressive Opener,Part-time,None,"Opening partnerships,Power",Short-pitch pace,1
Babar Azam,Batsman,92,93,10,False,29,Right,None,Anchor,Part-time,None,"Elegant technique,Consistency",Short-pitch pace,3
Glenn Maxwell,All-Rounder,92,91,80,False,35,Right,Right,Aggressive Opener,Middle Overs,Right-arm Offbreak,"Switch hitting,Fielding",Inconsistency with ball,5
Sanath Jayasuriya,Batsman,92,93,82,False,53,Left,Left,Aggressive Opener,Middle Overs,Left-arm Orthodox,"Explosive starts,Left-arm spin",Short-pitch pace,1
Lasith Malinga,Bowler (Fast),91,14,96,False,39,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Yorkers,Slingy action",Batting,11
Eoin Morgan,Batsman,91,92,10,False,37,Left,Right,Aggressive Opener,Part-time,None,"Ramp shots,Reverse sweep",Short pitch from right-armers,4
Brendon McCullum,Wicketkeeper,91,92,10,False,42,Right,Right,Aggressive Opener,Part-time,None,"Explosive starts,Leadership",Late swing,1
Yuvraj Singh,All-Rounder,91,91,82,False,41,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,"Six hitting,Left-arm spin",Short-pitch pace,4
Virendra Sehwag,Batsman,91,93,20,False,45,Right,Right,Aggressive Opener,Part-time,Right-arm Offbreak,"Power hitting,Demolition",Swing bowling,1
Heinrich Klaasen,Wicketkeeper,90,92,10,False,32,Right,None,Aggressive Opener,Part-time,None,"Explosive hitting,Glove work",Swing and seam,4
Shaheen Shah Afridi,Bowler (Fast),90,20,93,False,24,Left,Left,Defensive Tailender,Powerplay,Left-arm Fast,"Swing,Left-arm angle",Batting,11
Hardik Pandya,All-Rounder,90,90,87,False,30,Right,Right,Lower-order Hitter,Death,Right-arm Fast,"Power hitting,Death pace",Fitness management,6
Kumar Sangakkara,Wicketkeeper,90,92,10,False,45,Left,Right,Anchor,Part-time,None,"Glove work,Run scoring",Express pace,3
Kevin Pietersen,Batsman,90,91,10,False,43,Right,Right,Aggressive Opener,Part-time,None,"Switch hitting,Technique",Short-pitch pace,4
Travis Head,Batsman,90,92,10,False,30,Left,None,Aggressive Opener,Part-time,None,"Explosive starts,Timing",Spin on turning tracks,1
Pat Cummins,All-Rounder,90,26,93,False,31,Right,Right,Defensive Tailender,Powerplay,Right-arm Fast,"Accuracy,Reverse swing",Batting,11
Kane Williamson,Batsman,90,92,10,False,33,Right,Right,Anchor,Part-time,Right-arm Offbreak,"Technique,Leadership",Aggressive periods,3
Shikhar Dhawan,Batsman,90,91,10,False,38,Left,Right,Aggressive Opener,Part-time,None,"Power hitting,Consistency",Short-pitch pace,1
Tillakaratne Dilshan,Batsman,89,90,12,False,46,Right,Right,Aggressive Opener,Part-time,None,"Dilscoop,Improvisation",Short-pitch pace,1
Shane Watson,All-Rounder,89,88,85,False,42,Right,Right,Aggressive Opener,Powerplay,Right-arm Fast-medium,"Power hitting,New-ball swing",Short-pitch pace,1
Dwayne Bravo,All-Rounder,89,77,90,False,40,Right,Right,Lower-order Hitter,Death,Right-arm Medium,"Death bowling,Fielding",Spin on slow tracks,7
Anrich Nortje,Bowler (Fast),89,18,92,False,30,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Express pace,Bounce",Fitness,10
Jofra Archer,Bowler (Fast),88,22,91,False,28,Right,Right,Defensive Tailender,Death,Right-arm Fast,"Express pace,Bounce",Injury history,10
Shahid Afridi,All-Rounder,88,82,88,False,43,Right,Right,Aggressive Opener,Middle Overs,Leg-spin,"Six hitting,Leg-spin",Inconsistency,1
Andre Russell,All-Rounder,88,86,85,False,35,Right,Right,Lower-order Hitter,Death,Right-arm Fast,"Power hitting,Death bowling",Fitness management,6
